card_no,bill_cyc,pos_dt,cst_id,open_dt,exp_dt,cr_lmt_amt,prev_cr_lmt_amt
1234000000023349,20,2017-02-23 00:00:00,1000004674,2010-12-20 00:00:00,1220,70000.00,0.00
1234000000007292,17,2017-02-23 00:00:00,1000010084,2014-06-04 00:00:00,0619,69000.00,60000.00
1234000000018889,20,2017-02-23 00:00:00,1000009114,2014-01-22 00:00:00,0119,27000.00,32000.00
1234000000016887,17,2017-02-23 00:00:00,1000013313,2015-12-03 00:00:00,1220,41000.00,0.00
1234000000026997,17,2017-02-23 00:00:00,1000010235,2014-06-24 00:00:00,0619,50000.00,60000.00
1234000000010713,20,2017-02-23 00:00:00,1000012441,2015-07-16 00:00:00,0720,34000.00,0.00
1234000000016375,20,2017-02-23 00:00:00,1000012290,2015-06-23 00:00:00,0620,34000.00,0.00
1234000000026018,5,2017-02-23 00:00:00,1000000934,1998-11-27 00:00:00,0417,500000.00,0.00
1234000000004387,20,2017-02-23 00:00:00,1000013394,2015-12-18 00:00:00,1220,50000.00,125000.00
1234000000026876,20,2017-02-23 00:00:00,1000000651,2009-11-22 00:00:00,1119,65000.00,125000.00
1234000000018367,20,2017-02-23 00:00:00,1000011645,2015-03-17 00:00:00,0320,50000.00,0.00
1234000000009510,10,2017-02-23 00:00:00,1000010220,2014-06-23 00:00:00,0619,50000.00,100000.00
1234000000014241,20,2017-02-23 00:00:00,1000012527,2015-07-29 00:00:00,0720,52000.00,0.00
1234000000005755,17,2017-02-23 00:00:00,1000010624,2014-08-27 00:00:00,0819,50000.00,19000.00
1234000000022146,20,2017-02-23 00:00:00,1000009020,2014-01-06 00:00:00,0119,90000.00,0.00
1234000000000176,25,2017-02-23 00:00:00,1000006677,2011-12-26 00:00:00,1221,38000.00,25000.00
1234000000000031,17,2017-02-23 00:00:00,1000011384,2015-02-02 00:00:00,0220,62000.00,82000.00
1234000000013998,5,2017-02-23 00:00:00,1000001402,2003-09-29 00:00:00,1019,60000.00,50000.00
1234000000022592,5,2017-02-23 00:00:00,1000005106,2015-02-18 00:00:00,0220,700000.00,0.00
1234000000009982,5,2017-02-23 00:00:00,1000004011,2010-03-17 00:00:00,0320,60000.00,72000.00
1234000000005072,5,2017-02-23 00:00:00,1000001270,2009-11-22 00:00:00,1119,78000.00,128000.00
1234000000014634,20,2017-02-23 00:00:00,1000000515,2003-04-02 00:00:00,0517,84000.00,70000.00
1234000000021641,20,2017-02-23 00:00:00,1000006388,2011-09-23 00:00:00,0921,200000.00,1200000.00
1234000000022537,25,2017-02-23 00:00:00,1000007428,2012-06-27 00:00:00,0617,60000.00,0.00
1234000000020709,5,2017-02-23 00:00:00,1000013798,2016-04-12 00:00:00,0421,30000.00,45000.00
1234000000027738,10,2017-02-23 00:00:00,1000010391,2014-07-21 00:00:00,0719,100000.00,0.00
1234000000001467,20,2017-02-23 00:00:00,1000005272,2011-01-25 00:00:00,0121,97000.00,126100.00
1234000000014460,10,2017-02-23 00:00:00,1000009264,2014-02-13 00:00:00,0219,80000.00,0.00
1234000000025457,25,2017-02-23 00:00:00,1000003983,2012-03-15 00:00:00,0322,112000.00,116710.00
1234000000012985,5,2017-02-23 00:00:00,1000005098,2014-07-16 00:00:00,0719,40000.00,0.00
1234000000001443,25,2017-02-23 00:00:00,1000003688,2011-04-10 00:00:00,0421,80000.00,0.00
1234000000012669,5,2017-02-23 00:00:00,1000007642,2012-08-15 00:00:00,0819,26000.00,31200.00
1234000000022332,25,2017-02-23 00:00:00,1000006811,2012-02-03 00:00:00,0222,44000.00,22000.00
1234000000010949,17,2017-02-23 00:00:00,1000012735,2016-06-17 00:00:00,0621,70000.00,0.00
1234000000018046,5,2017-02-23 00:00:00,1000007246,2012-05-17 00:00:00,0517,56000.00,45000.00
1234000000021192,20,2017-02-23 00:00:00,1000009140,2014-01-27 00:00:00,0119,50000.00,0.00
